Id,SalePrice
1461,108000
1462,145250
1463,173000
1464,173000
1465,180000
1466,178000
1467,173000
1468,169000
1469,149900
1470,137000
1471,153500
1472,89500
1473,88000
1474,147000
1475,109500
1476,378500
1477,256300
1478,255500
1479,437154
1480,611657
1481,285000
1482,202665
1483,156932
1484,251000
1485,180000
1486,183500
1487,224900
1488,270000
1489,198900
1490,217000
1491,195000
1492,100000
1493,112000
1494,290000
1495,262000
1496,153500
1497,146000
1498,160000
1499,160000
1500,160000
1501,168500
1502,148800
1503,367294
1504,275000
1505,287000
1506,110000
1507,256000
1508,172500
1509,113000
1510,140000
1511,140000
1512,180500
1513,157500
1514,177000
1515,135000
1516,190000
1517,174900
1518,141000
1519,230000
1520,141000
1521,150000
1522,134450
1523,105500
1524,144000
1525,124500
1526,137000
1527,100000
1528,116500
1529,139950
1530,167000
1531,79900
1532,125500
1533,286000
1534,127000
1535,137000
1536,67000
1537,60000
1538,161000
1539,197900
1540,160000
1541,103000
1542,128000
1543,177000
1544,82500
1545,128000
1546,105000
1547,128500
1548,110000
1549,103000
1550,145000
1551,135000
1552,108000
1553,107500
1554,127000
1555,134432
1556,105000
1557,138000
1558,91000
1559,178000
1560,145000
1561,136500
1562,155000
1563,130500
1564,159000
1565,113000
1566,159000
1567,76000
1568,187500
1569,200500
1570,148000
1571,127000
1572,132500
1573,159000
1574,171500
1575,166000
1576,204750
1577,194500
1578,175000
1579,143000
1580,216837
1581,85000
1582,120500
1583,271000
1584,263000
1585,144500
1586,68500
1587,110000
1588,124000
1589,97500
1590,148000
1591,93000
1592,162900
1593,82500
1594,189000
1595,138887
1596,145250
1597,195000
1598,170000
1599,148500
1600,239000
1601,60000
1602,126000
1603,102776
1604,275000
1605,340000
1606,158000
1607,274970
1608,239000
1609,179900
1610,172785
1611,158000
1612,214000
1613,214000
1614,91000
1615,88000
1616,88000
1617,88000
1618,127000
1619,128200
1620,256000
1621,147000
1622,135000
1623,162900
1624,207500
1625,129900
1626,135000
1627,173000
1628,335000
1629,163900
1630,146000
1631,189000
1632,207000
1633,180000
1634,175900
1635,187500
1636,189000
1637,193500
1638,205000
1639,165000
1640,230000
1641,180000
1642,275000
1643,275000
1644,275000
1645,205000
1646,135000
1647,162900
1648,140000
1649,136500
1650,137000
1651,134800
1652,100000
1653,94500
1654,155000
1655,160000
1656,147000
1657,155000
1658,147000
1659,115000
1660,137500
1661,582933
1662,475000
1663,337500
1664,611657
1665,250000
1666,440000
1667,310000
1668,279500
1669,245350
1670,386250
1671,257000
1672,326000
1673,309000
1674,248900
1675,193000
1676,196000
1677,181134
1678,326000
1679,271900
1680,277500
1681,235000
1682,283463
1683,224000
1684,184000
1685,178900
1686,208900
1687,180000
1688,189000
1689,225000
1690,179540
1691,185000
1692,335000
1693,180000
1694,172500
1695,180000
1696,250000
1697,180000
1698,412500
1699,275000
1700,233000
1701,290000
1702,227000
1703,245000
1704,284000
1705,164990
1706,280000
1707,250580
1708,260000
1709,315500
1710,233170
1711,252000
1712,210000
1713,249700
1714,213500
1715,186500
1716,165000
1717,176000
1718,84500
1719,200141
1720,270000
1721,159000
1722,84500
1723,140000
1724,311872
1725,239000
1726,187000
1727,179200
1728,162900
1729,185000
1730,171000
1731,143250
1732,137000
1733,144000
1734,136500
1735,119900
1736,112500
1737,287000
1738,196500
1739,151000
1740,214000
1741,197500
1742,172500
1743,165000
1744,287000
1745,163000
1746,170000
1747,197000
1748,200000
1749,161500
1750,175500
1751,158000
1752,100000
1753,167000
1754,192000
1755,175000
1756,119900
1757,62383
1758,160000
1759,243000
1760,167000
1761,167000
1762,200000
1763,157000
1764,135750
1765,167000
1766,196000
1767,190000
1768,135000
1769,145000
1770,160000
1771,161500
1772,241500
1773,161500
1774,180500
1775,142000
1776,145500
1777,117000
1778,134500
1779,143500
1780,133500
1781,123000
1782,103200
1783,64500
1784,101000
1785,91000
1786,171500
1787,235000
1788,60000
1789,83000
1790,79500
1791,200000
1792,145250
1793,131500
1794,147000
1795,139000
1796,159500
1797,131000
1798,85000
1799,175000
1800,140000
1801,139000
1802,159950
1803,165150
1804,173000
1805,124500
1806,189950
1807,124500
1808,112000
1809,179900
1810,125500
1811,106250
1812,122000
1813,125500
1814,78000
1815,60000
1816,99900
1817,87000
1818,133900
1819,107500
1820,76000
1821,189950
1822,135000
1823,76000
1824,113000
1825,139000
1826,105000
1827,100000
1828,145000
1829,157000
1830,103600
1831,184000
1832,102000
1833,197500
1834,79000
1835,184000
1836,100000
1837,117000
1838,87000
1839,135000
1840,179000
1841,188000
1842,93500
1843,132000
1844,140000
1845,274970
1846,163000
1847,177000
1848,39300
1849,130000
1850,157000
1851,110000
1852,139400
1853,143000
1854,165500
1855,130000
1856,162900
1857,151000
1858,142953
1859,118858
1860,197500
1861,118858
1862,342643
1863,342643
1864,342643
1865,325624
1866,295493
1867,239799
1868,236500
1869,193879
1870,306000
1871,239799
1872,156932
1873,162900
1874,138000
1875,222500
1876,231500
1877,224900
1878,204000
1879,144000
1880,135960
1881,212900
1882,239000
1883,196500
1884,230000
1885,192500
1886,192500
1887,191000
1888,248328
1889,156932
1890,144000
1891,148000
1892,112500
1893,135000
1894,119000
1895,148000
1896,34900
1897,125500
1898,73000
1899,102000
1900,110000
1901,142500
1902,170000
1903,226000
1904,157000
1905,190000
1906,157500
1907,149900
1908,124000
1909,135960
1910,124000
1911,240000
1912,187500
1913,137000
1914,89000
1915,392500
1916,60000
1917,228000
1918,114500
1919,132500
1920,207500
1921,337500
1922,437154
1923,240000
1924,285000
1925,122000
1926,320000
1927,137000
1928,112000
1929,130500
1930,171000
1931,137000
1932,130500
1933,142500
1934,173000
1935,200500
1936,173000
1937,183200
1938,181000
1939,270000
1940,180000
1941,169000
1942,204000
1943,180000
1944,309000
1945,437154
1946,143000
1947,277500
1948,135000
1949,221000
1950,187500
1951,402000
1952,171000
1953,175000
1954,205000
1955,113000
1956,412500
1957,165000
1958,315750
1959,136000
1960,109008
1961,110000
1962,85400
1963,85400
1964,119500
1965,148500
1966,160000
1967,256300
1968,337500
1969,386250
1970,426000
1971,403000
1972,426000
1973,238000
1974,337000
1975,149500
1976,257000
1977,403000
1978,440000
1979,248900
1980,260000
1981,279500
1982,254000
1983,254000
1984,175500
1985,230000
1986,350000
1987,222000
1988,192140
1989,183500
1990,222500
1991,241000
1992,129900
1993,189000
1994,269790
1995,188500
1996,258000
1997,466500
1998,350000
1999,320000
2000,265000
2001,290000
2002,240000
2003,270000
2004,252678
2005,203000
2006,187750
2007,227000
2008,185000
2009,200000
2010,221000
2011,139000
2012,179900
2013,185000
2014,172500
2015,192500
2016,207500
2017,239000
2018,109008
2019,144000
2020,130500
2021,91000
2022,118000
2023,181500
2024,200000
2025,325000
2026,167240
2027,147000
2028,144152
2029,173733
2030,208900
2031,286000
2032,286000
2033,278000
2034,179400
2035,235000
2036,146000
2037,146000
