Id,SalePrice
1461,120500
1462,145000
1463,181000
1464,189000
1465,180000
1466,215000
1467,155000
1468,185000
1469,180000
1470,125000
1471,155000
1472,89500
1473,88000
1474,148500
1475,110000
1476,269500
1477,611657
1478,320000
1479,280000
1480,412500
1481,250000
1482,202500
1483,181000
1484,160200
1485,180000
1486,183500
1487,340000
1488,255500
1489,198900
1490,215000
1491,185000
1492,110000
1493,185000
1494,290000
1495,250000
1496,174000
1497,164500
1498,151000
1499,151000
1500,160000
1501,176000
1502,148800
1503,394432
1504,235000
1505,190000
1506,190000
1507,240000
1508,190000
1509,140000
1510,140000
1511,145000
1512,155000
1513,140000
1514,207500
1515,205000
1516,145000
1517,147000
1518,145000
1519,190000
1520,141000
1521,135000
1522,155000
1523,110000
1524,115000
1525,110000
1526,137000
1527,110000
1528,115000
1529,140000
1530,140000
1531,135000
1532,115000
1533,135000
1534,115000
1535,140000
1536,140000
1537,60000
1538,95000
1539,140000
1540,130000
1541,140000
1542,140000
1543,140000
1544,80000
1545,120000
1546,140000
1547,119000
1548,132500
1549,155000
1550,145000
1551,125000
1552,135000
1553,118000
1554,128000
1555,139000
1556,135000
1557,125000
1558,91000
1559,61000
1560,106000
1561,141000
1562,125000
1563,130000
1564,170000
1565,135000
1566,260000
1567,76000
1568,240000
1569,135000
1570,140000
1571,140000
1572,145000
1573,224000
1574,60000
1575,260000
1576,200000
1577,198900
1578,185000
1579,145000
1580,188000
1581,133500
1582,110000
1583,305900
1584,250000
1585,140000
1586,108000
1587,115000
1588,143000
1589,110000
1590,140000
1591,115000
1592,132000
1593,120000
1594,189000
1595,76500
1596,143000
1597,137000
1598,180000
1599,170000
1600,189000
1601,60000
1602,110000
1603,135000
1604,275000
1605,230000
1606,180000
1607,150900
1608,180000
1609,224000
1610,167500
1611,110000
1612,145000
1613,145000
1614,133000
1615,88000
1616,88000
1617,88000
1618,130000
1619,131000
1620,142953
1621,147000
1622,139000
1623,235000
1624,200000
1625,110000
1626,185000
1627,181000
1628,248000
1629,180000
1630,501837
1631,190000
1632,214000
1633,180000
1634,176000
1635,174000
1636,176000
1637,190000
1638,290000
1639,210000
1640,250000
1641,160000
1642,226000
1643,290000
1644,230000
1645,171000
1646,148000
1647,160000
1648,140000
1649,135000
1650,120500
1651,110000
1652,83000
1653,94500
1654,155000
1655,147000
1656,146000
1657,155000
1658,146000
1659,133000
1660,139000
1661,412500
1662,383970
1663,372500
1664,611657
1665,320000
1666,315000
1667,290000
1668,320000
1669,320000
1670,320000
1671,260000
1672,555000
1673,309000
1674,230000
1675,196000
1676,196000
1677,207500
1678,611657
1679,325000
1680,318061
1681,266000
1682,315000
1683,171750
1684,184000
1685,174000
1686,160200
1687,160000
1688,180000
1689,185000
1690,185000
1691,174000
1692,237000
1693,180000
1694,185000
1695,180000
1696,250000
1697,180000
1698,325000
1699,325000
1700,250000
1701,250000
1702,320000
1703,320000
1704,320000
1705,180000
1706,611657
1707,182000
1708,262500
1709,264132
1710,275000
1711,230000
1712,287090
1713,319000
1714,214000
1715,190000
1716,155000
1717,155000
1718,147000
1719,200000
1720,175000
1721,155000
1722,142500
1723,155000
1724,239799
1725,215000
1726,173000
1727,180000
1728,185000
1729,185000
1730,112000
1731,115000
1732,120500
1733,125000
1734,140000
1735,138500
1736,125500
1737,385000
1738,185000
1739,189000
1740,196000
1741,230000
1742,168500
1743,183900
1744,228000
1745,170000
1746,187000
1747,240000
1748,250000
1749,175000
1750,143000
1751,159500
1752,130000
1753,167000
1754,190000
1755,165000
1756,139000
1757,110000
1758,135000
1759,135000
1760,155000
1761,167000
1762,200000
1763,165500
1764,115000
1765,167000
1766,167000
1767,190000
1768,135000
1769,140000
1770,140000
1771,141000
1772,139000
1773,139000
1774,135000
1775,140000
1776,110000
1777,100000
1778,118000
1779,98300
1780,140000
1781,125000
1782,110000
1783,108000
1784,106250
1785,115000
1786,135000
1787,140000
1788,60000
1789,110000
1790,86000
1791,200000
1792,139000
1793,140000
1794,155000
1795,155000
1796,140000
1797,120500
1798,135000
1799,110000
1800,144000
1801,135000
1802,140000
1803,140000
1804,140000
1805,140000
1806,115000
1807,200000
1808,110000
1809,135000
1810,155000
1811,140000
1812,135000
1813,110000
1814,115000
1815,60000
1816,100000
1817,140000
1818,95000
1819,115000
1820,100000
1821,115000
1822,140000
1823,85000
1824,135000
1825,127000
1826,110000
1827,115000
1828,135000
1829,81000
1830,140000
1831,140000
1832,135000
1833,140000
1834,135000
1835,122000
1836,125000
1837,115000
1838,135000
1839,86000
1840,179000
1841,157000
1842,98000
1843,135000
1844,140000
1845,140000
1846,140000
1847,230000
1848,39300
1849,140000
1850,115000
1851,140000
1852,141000
1853,140000
1854,147000
1855,181000
1856,189000
1857,124000
1858,142953
1859,118858
1860,153337
1861,118858
1862,200000
1863,200000
1864,200000
1865,325624
1866,320000
1867,244600
1868,230000
1869,230000
1870,194000
1871,230000
1872,174000
1873,215000
1874,126000
1875,235000
1876,181000
1877,260000
1878,235000
1879,125000
1880,140000
1881,385000
1882,200000
1883,216500
1884,230000
1885,260000
1886,215000
1887,180000
1888,235000
1889,156932
1890,135000
1891,140000
1892,110000
1893,165000
1894,139000
1895,139000
1896,140000
1897,135000
1898,115000
1899,135000
1900,135000
1901,160000
1902,145000
1903,200000
1904,141000
1905,145000
1906,139000
1907,190000
1908,124000
1909,124000
1910,124000
1911,205000
1912,217000
1913,140000
1914,86000
1915,275000
1916,60000
1917,250000
1918,140000
1919,159500
1920,181000
1921,555000
1922,221500
1923,200000
1924,175000
1925,220000
1926,293077
1927,135000
1928,179900
1929,127000
1930,140000
1931,145000
1932,147000
1933,120500
1934,189000
1935,185000
1936,181000
1937,181000
1938,185000
1939,286000
1940,180000
1941,181000
1942,185000
1943,180000
1944,309000
1945,315000
1946,149500
1947,318061
1948,190000
1949,275000
1950,145000
1951,190000
1952,190000
1953,190000
1954,205000
1955,110000
1956,250000
1957,185000
1958,250000
1959,136000
1960,100000
1961,110000
1962,100000
1963,83000
1964,119500
1965,146000
1966,127500
1967,318000
1968,555000
1969,320000
1970,220000
1971,200000
1972,250000
1973,250000
1974,250000
1975,611657
1976,250000
1977,315000
1978,280000
1979,318061
1980,260000
1981,318061
1982,199900
1983,196000
1984,154000
1985,246578
1986,175900
1987,160200
1988,185000
1989,185000
1990,215000
1991,185850
1992,230000
1993,182000
1994,250000
1995,185000
1996,239000
1997,320000
1998,385000
1999,190000
2000,290000
2001,250000
2002,320000
2003,230000
2004,230000
2005,182000
2006,250580
2007,250000
2008,185000
2009,173000
2010,215000
2011,147000
2012,148800
2013,173000
2014,173000
2015,185000
2016,173000
2017,190000
2018,115000
2019,127000
2020,125000
2021,110000
2022,218000
2023,135000
2024,200000
2025,285000
2026,189000
2027,151000
2028,146000
2029,155000
2030,275000
2031,197000
2032,157000
2033,235000
2034,160000
2035,193000
2036,172500
2037,172500
2038,197000
2039,270000
2040,190000
2041,218000
2042,182000
2043,158000
2044,167000
2045,190000
2046,154000
2047,140000
2048,115000
2049,142600
2050,140000
2051,115000
2052,160000
2053,135000
2054,130000
2055,145000
2056,135000
2057,135000
2058,160000
2059,139000
2060,135000
2061,167000
2062,135000
2063,110000
2064,140000
2065,144000
2066,190000
2067,169000
2068,155000
2069,80500
2070,100000
2071,108000
2072,81000
2073,140000
2074,140000
2075,140000
2076,110000
2077,141000
2078,135000
2079,140000
2080,115000
2081,140000
2082,141000
2083,140000
2084,110000
2085,141000
2086,147000
2087,115000
2088,135000
2089,80000
2090,135000
2091,102776
2092,135000
2093,115000
2094,110000
2095,140000
2096,85000
2097,110500
2098,135000
2099,60000
2100,87000
2101,112000
2102,161000
2103,110000
2104,90000
2105,110500
2106,60000
2107,250000
2108,110000
2109,115000
2110,135000
2111,140200
2112,135000
2113,117000
2114,135000
2115,140000
2116,130000
2117,127500
2118,135000
2119,119000
2120,79000
2121,110000
2122,81000
2123,110000
2124,164000
2125,140000
2126,163000
2127,140000
2128,135000
2129,130000
2130,140000
2131,145000
2132,185000
2133,115000
2134,112000
2135,127000
2136,85000
2137,135000
2138,139000
2139,140000
2140,127000
2141,151000
2142,154500
2143,144000
2144,131500
2145,135000
2146,140000
2147,125000
2148,108000
2149,148500
2150,215000
2151,116900
2152,147000
2153,139000
2154,135000
2155,120000
2156,200000
2157,235000
2158,205000
2159,170000
2160,200000
2161,287090
2162,253293
2163,325000
2164,187500
2165,190000
2166,152000
2167,260000
2168,200000
2169,190000
2170,230000
2171,140000
2172,145000
2173,125000
2174,200000
2175,285000
2176,275000
2177,195000
2178,190000
2179,149000
2180,220000
2181,190000
2182,248328
2183,201000
2184,139000
2185,145000
2186,148000
2187,140000
2188,159500
2189,242000
2190,82000
2191,82000
2192,100000
2193,118000
2194,115000
2195,119000
2196,140000
2197,118000
2198,125000
2199,129900
2200,140000
2201,110000
2202,128000
2203,140000
2204,135000
2205,115000
2206,140000
2207,140000
2208,140000
2209,223000
2210,124000
2211,119000
2212,110000
2213,135000
2214,127000
2215,110000
2216,139000
2217,82000
2218,135000
2219,135000
2220,102776
2221,275000
2222,275000
2223,315000
2224,230000
2225,185000
2226,180000
2227,180000
2228,220000
2229,320000
2230,167500
2231,269500
2232,175000
2233,175000
2234,180000
2235,217000
2236,275000
2237,369900
2238,206300
2239,147000
2240,162000
2241,137500
2242,140000
2243,127000
2244,91000
2245,91000
2246,135000
2247,88000
2248,138000
2249,130500
2250,124500
2251,135000
2252,190000
2253,180000
2254,180000
2255,181000
2256,174000
2257,200000
2258,185000
2259,185000
2260,155000
2261,170000
2262,189000
2263,290000
2264,501837
2265,160000
2266,275000
2267,325624
2268,320000
2269,181000
2270,178000
2271,260000
2272,140000
2273,173000
2274,181000
2275,155000
2276,170000
2277,190000
2278,135000
2279,115000
2280,137000
2281,181000
2282,181000
2283,88000
2284,118000
2285,143000
2286,135000
2287,320000
2288,250000
2289,256300
2290,383970
2291,354000
2292,315000
2293,555000
2294,250000
2295,385000
2296,315000
2297,230000
2298,378500
2299,320000
2300,290000
2301,320000
2302,227000
2303,214000
2304,318000
2305,196000
2306,196000
2307,196000
2308,209500
2309,266000
2310,197000
2311,171750
2312,205950
2313,174000
2314,164500
2315,174000
2316,174000
2317,184000
2318,156932
2319,165400
2320,176000
2321,175900
2322,159895
2323,140000
2324,180000
2325,214000
2326,160000
2327,215000
2328,215000
2329,181000
2330,181000
2331,325000
2332,290000
2333,290000
2334,290000
2335,328000
2336,290000
2337,179900
2338,244600
2339,214000
2340,385000
2341,182000
2342,214000
2343,190000
2344,225000
2345,239799
2346,212000
2347,195400
2348,212000
2349,225000
2350,237000
2351,220000
2352,250000
2353,200000
2354,147000
2355,141000
2356,155000
2357,190000
2358,200000
2359,120000
2360,125000
2361,129000
2362,335000
2363,129000
2364,142500
2365,196000
2366,170000
2367,214000
2368,208900
2369,214000
2370,179400
2371,177500
2372,196000
2373,230000
2374,340000
2375,270000
2376,244000
2377,324000
2378,140000
2379,250000
2380,140000
2381,145000
2382,190000
2383,235000
2384,210000
2385,152000
2386,140000
2387,139000
2388,101800
2389,135000
2390,140000
2391,115000
2392,110000
2393,160000
2394,140000
2395,200000
2396,143000
2397,167000
2398,110000
2399,39300
2400,84500
2401,130000
2402,135000
2403,110000
2404,140000
2405,140000
2406,140000
2407,118500
2408,140000
2409,141000
2410,167000
2411,115000
2412,155000
2413,139000
2414,140000
2415,145000
2416,110000
2417,119000
2418,115000
2419,141000
2420,139000
2421,135000
2422,113000
2423,124000
2424,140000
2425,189000
2426,135000
2427,135000
2428,140000
2429,110000
2430,130000
2431,135000
2432,135000
2433,135000
2434,135000
2435,145000
2436,106500
2437,109500
2438,127000
2439,110000
2440,105000
2441,115000
2442,115000
2443,110000
2444,110000
2445,135000
2446,135000
2447,140000
2448,140000
2449,155000
2450,112000
2451,115000
2452,265979
2453,100000
2454,175000
2455,110000
2456,140200
2457,135000
2458,135000
2459,109500
2460,140000
2461,105000
2462,115000
2463,115000
2464,107500
2465,140000
2466,129000
2467,155000
2468,135000
2469,67000
2470,140000
2471,140000
2472,140000
2473,95000
2474,135000
2475,235000
2476,115000
2477,125000
2478,170000
2479,115000
2480,140000
2481,135000
2482,131500
2483,125000
2484,100000
2485,127000
2486,139000
2487,190000
2488,135000
2489,140000
2490,135000
2491,90000
2492,190000
2493,112000
2494,160000
2495,97500
2496,190000
2497,140000
2498,125000
2499,82000
2500,127000
2501,125000
2502,135000
2503,135000
2504,190000
2505,185000
2506,230000
2507,305900
2508,230000
2509,230000
2510,230000
2511,194000
2512,230000
2513,241500
2514,174000
2515,145000
2516,155000
2517,126000
2518,152000
2519,230000
2520,195000
2521,190000
2522,230000
2523,110000
2524,140000
2525,149900
2526,145000
2527,133500
2528,110000
2529,129000
2530,120500
2531,240000
2532,200000
2533,190000
2534,240000
2535,230000
2536,193000
2537,176000
2538,179540
2539,185000
2540,140000
2541,174000
2542,174000
2543,119000
2544,115000
2545,140000
2546,140000
2547,148000
2548,142953
2549,176000
2550,160000
2551,148000
2552,115000
2553,82000
2554,125000
2555,110000
2556,110000
2557,120500
2558,200000
2559,125000
2560,128000
2561,155000
2562,140000
2563,135000
2564,161000
2565,110000
2566,135000
2567,145000
2568,190000
2569,190000
2570,124000
2571,145000
2572,170000
2573,228000
2574,287000
2575,140000
2576,115000
2577,145000
2578,115000
2579,60000
2580,122000
2581,135000
2582,125500
2583,235000
2584,159500
2585,145000
2586,239686
2587,180000
2588,158000
2589,140000
2590,325000
2591,205000
2592,248328
2593,224000
2594,180000
2595,220000
2596,281000
2597,190000
2598,200000
2599,378500
2600,186700
2601,148000
2602,88000
2603,91000
2604,97000
2605,85000
2606,140000
2607,175000
2608,190000
2609,144000
2610,109500
2611,139000
2612,135000
2613,144000
2614,112000
2615,155000
2616,135000
2617,186700
2618,143000
2619,190000
2620,185000
2621,215000
2622,200000
2623,230000
2624,240000
2625,285000
2626,173000
2627,170000
2628,325000
2629,438780
2630,325000
2631,556581
2632,438780
2633,275000
2634,315000
2635,148000
2636,172500
2637,140000
2638,250000
2639,175000
2640,148000
2641,110000
2642,155000
2643,88000
2644,122500
2645,118000
2646,118000
2647,88000
2648,128000
2649,135000
2650,155000
2651,146000
2652,451950
2653,256300
2654,280000
2655,385000
2656,403000
2657,214000
2658,237000
2659,354000
2660,250000
2661,315000
2662,315000
2663,250000
2664,266000
2665,230000
2666,319900
2667,178900
2668,179540
2669,185000
2670,250000
2671,174000
2672,191000
2673,234000
2674,159895
2675,160200
2676,215000
2677,244000
2678,250000
2679,284000
2680,250000
2681,315000
2682,290000
2683,184750
2684,290000
2685,290000
2686,275000
2687,465000
2688,225000
2689,197000
2690,160000
2691,207500
2692,147000
2693,196000
2694,147000
2695,180000
2696,180000
2697,181000
2698,173000
2699,180000
2700,179200
2701,155000
2702,129000
2703,112000
2704,135000
2705,129000
2706,130000
2707,129000
2708,137000
2709,135000
2710,127000
2711,190000
2712,325000
2713,170000
2714,147400
2715,168500
2716,148800
2717,160000
2718,214000
2719,129000
2720,180000
2721,140000
2722,140000
2723,149000
2724,123000
2725,135000
2726,143000
2727,139000
2728,140000
2729,110000
2730,135000
2731,100000
2732,115000
2733,140000
2734,167000
2735,118000
2736,135000
2737,110000
2738,124000
2739,140000
2740,140000
2741,139000
2742,153000
2743,135000
2744,140000
2745,135000
2746,137000
2747,110000
2748,140000
2749,135000
2750,141000
2751,110000
2752,230000
2753,135000
2754,200000
2755,140000
2756,100000
2757,82000
2758,135000
2759,140000
2760,135000
2761,165000
2762,139000
2763,180000
2764,112000
2765,289000
2766,135000
2767,87500
2768,141000
2769,141000
2770,140000
2771,115000
2772,125000
2773,132000
2774,125000
2775,155000
2776,140000
2777,140000
2778,116900
2779,140000
2780,140000
2781,115000
2782,110000
2783,55000
2784,131500
2785,155000
2786,86000
2787,110000
2788,100000
2789,140000
2790,55000
2791,115000
2792,85000
2793,140000
2794,135000
2795,115000
2796,110000
2797,185000
2798,135000
2799,153575
2800,34900
2801,110000
2802,140000
2803,150900
2804,98300
2805,115000
2806,67000
2807,130000
2808,135000
2809,140000
2810,127000
2811,135000
2812,148000
2813,144000
2814,145000
2815,119000
2816,190000
2817,110000
2818,110000
2819,160000
2820,135000
